965,AOAMBG,Abulón fresco,40,gr,40,40,42,6.8,0.3,2.4,ND,0.9,ND,ND,ND,ND,ND,ND,ND,33.9,ND,ND,ND,12.2,17.9,ND,ND,1.3,120.5
966,AOAMBG,Acociles,50,gr,50,35,37,7.4,0.5,0.9,ND,2.8,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1137.5,ND,ND,ND,2.9,0.0
967,AOAMBG,Aguayón,30,gr,30,30,42,6.3,1.9,0.0,ND,1.8,ND,ND,ND,ND,ND,ND,ND,18.6,ND,ND,ND,1.8,5.9,ND,ND,0.7,18.9
968,AOAMBG,Aguayón de res,30,gr,30,30,42,6.4,1.9,0.0,ND,1.8,ND,ND,ND,ND,ND,ND,ND,18.6,ND,ND,ND,1.8,5.9,ND,ND,0.7,18.9
969,AOAMBG,Ahuahutle seco,10,gr,10,10,39,7.8,0.4,0.2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,10.4,ND,ND,ND,1.0,ND
970,AOAMBG,Alce crudo,35,gr,35,35,36,7.0,0.3,0.0,ND,0.0,ND,ND,ND,ND,ND,ND,ND,20.7,ND,ND,ND,1.8,3.4,ND,ND,1.1,22.8
971,AOAMBG,Almeja chirla,50,gr,50,50,41,7.4,0.4,0.7,ND,0.0,ND,ND,ND,ND,ND,ND,ND,15.5,ND,ND,ND,ND,12.2,ND,ND,1.7,18.0
972,AOAMBG,Almeja cruda mediana sin concha,4,pieza,58,58,43,7.4,0.6,1.5,ND,52.2,ND,ND,ND,ND,ND,ND,ND,19.8,ND,ND,ND,26.6,14.10,ND,ND,8.1,32.8
973,AOAMBG,Almeja fresca sin concha,4,pieza,58,58,43,7.4,0.6,1.5,ND,52.2,ND,ND,ND,ND,ND,ND,ND,19.8,ND,ND,ND,26.6,14.10,ND,ND,8.1,32.8
974,AOAMBG,Alón de pollo sin piel,1,pieza,55,29,37,6.4,1.0,0.0,ND,5.2,ND,ND,ND,ND,ND,ND,ND,16.6,ND,ND,ND,3.8,5.2,ND,ND,0.3,23.6
975,AOAMBG,Anchoa fresca,30,g,30,30,39,6.1,1.4,0.0,ND,4.6,ND,ND,ND,ND,ND,ND,ND,18.0,ND,ND,ND,44.1,11.0,ND,ND,1.0,31.1
